month-year,rsi-3-SPXL->-23-1-ERY
2008-11,[3.28153312e+02 1.25000000e-01 3.28153312e+08 1.06158833e+00]
2008-12,[6.05598650e+03 4.76190476e-01 1.69420772e+06 1.26749394e+00]
2009-01,[-9.73638166e+01  1.42857143e-01 -5.15821071e+02  8.11244980e-01]
2009-02,[0. 0. 0. 1.]
2009-03,[2.78992420e+03 2.38095238e-01 2.78992420e+09 1.21353135e+00]
2009-04,[-8.60619401e+01  1.42857143e-01 -5.50298409e+02  8.92816742e-01]
2009-05,[0. 0. 0. 1.]
2009-06,[6.68070077e+01 2.85714286e-01 1.18515632e+05 1.02987599e+00]
2009-07,[-9.30948455e+01  2.27272727e-01 -6.25643620e+02  8.51201479e-01]
2009-08,[0. 0. 0. 1.]
2009-09,[-5.72953979e+01  1.42857143e-01 -1.19927901e+03  9.52225131e-01]
2009-10,[-9.12474357e+01  1.30434783e-01 -6.41274005e+02  8.57709131e-01]
2009-11,[-7.96853167e+01  1.57894737e-01 -1.00084758e+03  9.20382166e-01]
2009-12,[0. 0. 0. 1.]
2010-01,[0. 0. 0. 1.]
2010-02,[3.42693784e+02 3.15789474e-01 7.80132319e+03 1.08051993e+00]
2010-03,[7.14549310e+02 3.18181818e-01 7.14549310e+08 1.13476154e+00]
2010-04,[-8.06674853e+01  2.38095238e-01 -7.26007368e+02  9.09781576e-01]
2010-05,[1.63029878e+02 4.76190476e-02 1.63029878e+08 1.05721831e+00]
2010-06,[1.81253562e+02 3.80952381e-01 3.51105691e+03 1.06130086e+00]
2010-07,[3.89840562e+01 1.36363636e-01 3.89840562e+07 1.02003968e+00]
2010-08,[-3.70552207e+01  1.42857143e-01 -1.40992077e+03  9.73718225e-01]
2010-09,[-1.32719480e+01  1.42857143e-01 -6.82149585e+02  9.91841004e-01]
2010-10,[0. 0. 0. 1.]
2010-11,[-6.61696214e+01  4.00000000e-01 -5.08739318e+02  9.42342102e-01]
2010-12,[-6.43228434e+01  1.81818182e-01 -1.06792304e+03  9.39768278e-01]
2011-01,[7.11349662e+01 1.50000000e-01 7.11349662e+07 1.02987777e+00]
2011-02,[-7.68519750e+01  1.57894737e-01 -1.04787058e+03  9.26658906e-01]
2011-03,[-3.28687882e+01  3.91304348e-01 -1.09160830e+03  9.75200402e-01]
2011-04,[-3.37976478e+01  3.80952381e-01 -1.44120941e+03  9.76549107e-01]
2011-05,[-1.80489153e+01  5.00000000e-02 -1.66388438e+03  9.89152542e-01]
2011-06,[8.07594498e+01 9.09090909e-02 2.87385457e+03 1.03632625e+00]
2011-07,[-4.99755730e+01  2.85714286e-01 -7.47283857e+02  9.60932031e-01]
2011-08,[-9.29572377e+01  3.63636364e-01 -5.08471011e+02  8.52214452e-01]
2011-09,[1.31818781e+01 1.42857143e-01 2.85109074e+02 1.00714967e+00]
2011-10,[-9.89169233e+01  3.33333333e-01 -4.31520886e+02  7.70771412e-01]
2011-11,[9.42847873e+02 3.33333333e-01 9.42847873e+08 1.14441246e+00]
2011-12,[1.09893092e+04 4.54545455e-01 4.08435991e+06 1.32817260e+00]
2012-01,[-4.07435273e+01  2.63157895e-01 -4.75061128e+02  9.73127641e-01]
2012-02,[-8.55205859e+01  1.50000000e-01 -8.51171869e+02  8.99526066e-01]
2012-03,[6.32079151e+01 2.60869565e-01 1.86165249e+03 1.03134890e+00]
2012-04,[-1.89801855e+00  5.26315789e-02 -1.90371261e+03  9.99002991e-01]
2012-05,[6.39799022e+01 1.36363636e-01 1.18718263e+03 1.03025868e+00]
2012-06,[1.26273641e+02 3.63636364e-01 1.26273641e+08 1.05044955e+00]
2012-07,[-8.69428939e+01  3.00000000e-01 -8.23667683e+02  8.94444209e-01]
2012-08,[8.40093437e+01 2.60869565e-01 8.40093437e+07 1.03917464e+00]
2012-09,[-7.40960069e+01  1.50000000e-01 -1.03859996e+03  9.28657799e-01]
2012-10,[0. 0. 0. 1.]
2012-11,[3.52439488e+01 1.90476190e-01 3.52439488e+07 1.01752190e+00]
2012-12,[3.96050695e+01 1.00000000e-01 3.96050695e+07 1.01845018e+00]
2013-01,[-8.83116698e+01  1.90476190e-01 -7.60128200e+02  8.83820032e-01]
2013-02,[1.64222115e+02 1.57894737e-01 1.64222115e+08 1.05187835e+00]
2013-03,[-3.92218083e+01  1.42857143e-01 -1.38877219e+03  9.71757925e-01]
2013-04,[7.81966401e+02 2.38095238e-01 7.15499257e+04 1.13343305e+00]
2013-05,[-8.95588016e+01  4.09090909e-01 -7.03427935e+02  8.72682336e-01]
2013-06,[1.99810369e+03 6.66666667e-01 1.99810369e+09 1.19138003e+00]
2013-07,[-7.65098329e+01  2.85714286e-01 -9.15824784e+02  9.20035121e-01]
2013-08,[6.42687522e+01 8.69565217e-02 6.42687522e+07 1.03177005e+00]
2013-09,[-6.53423791e+01  3.68421053e-01 -9.39132115e+02  9.46333727e-01]
2013-10,[-1.86477439e+01  3.91304348e-01 -1.44324885e+03  9.87079329e-01]
2013-11,[-2.12995112e+01  1.42857143e-01 -6.14322743e+02  9.86313869e-01]
2013-12,[-5.27288450e+01  1.50000000e-01 -1.31086361e+03  9.59775491e-01]
2014-01,[0. 0. 0. 1.]
2014-02,[-8.65966107e+01  3.15789474e-01 -8.71837063e+02  9.00673401e-01]
2014-03,[-5.46051361e+01  4.28571429e-01 -9.80196440e+02  9.55577994e-01]
2014-04,[0.27182475 0.57142857 5.67207635 1.00015619]
2014-05,[2.31478811e+01 2.27272727e-01 1.80321994e+03 1.01262907e+00]
2014-06,[-3.17008447e+01  3.00000000e-01 -5.82822656e+02  9.79325059e-01]
2014-07,[-5.41722592e+01  2.72727273e-01 -1.17914951e+03  9.54058193e-01]
2014-08,[-4.19751432e+01  3.63636364e-01 -1.14414676e+03  9.67725269e-01]
2014-09,[2.20107142e+02 4.00000000e-01 7.98988926e+04 1.06582872e+00]
2014-10,[8.83338752e+02 6.08695652e-01 3.89110720e+05 1.15492531e+00]
