date,trade_returns_day
2008-11-07,
2008-11-08,1.1416490486257929
2008-11-11,1.0314814814814814
2008-11-12,1.0
2008-11-13,1.0
2008-11-14,1.0
2008-11-15,1.0
2008-11-18,1.0
2008-11-19,1.094170403587444
2008-11-20,0.8401639344262295
2008-11-21,1.0
2008-11-22,1.0
2008-11-25,1.0
2008-11-26,1.0
2008-11-27,1.0
2008-11-29,1.0
2008-12-02,1.0
2008-12-03,1.0898550724637681
2008-12-04,1.0265957446808511
2008-12-05,1.0
2008-12-06,1.0
2008-12-09,1.0
2008-12-10,1.0
2008-12-11,1.1544715447154472
2008-12-12,0.9859154929577465
2008-12-13,0.9666666666666667
2008-12-16,1.0024630541871922
2008-12-17,1.0
2008-12-18,1.0
2008-12-19,1.0
2008-12-20,0.9971590909090909
2008-12-23,0.9316239316239316
2008-12-24,1.0
2008-12-25,1.0
2008-12-27,1.0
2008-12-30,1.0
2008-12-31,1.0
2009-01-01,1.0
2009-01-03,1.0
2009-01-06,1.0
2009-01-07,1.0
2009-01-08,1.0
2009-01-09,1.0
2009-01-10,1.0
2009-01-13,0.9063291139240506
2009-01-14,1.0558659217877095
2009-01-15,1.0
2009-01-16,1.0
2009-01-17,1.0
2009-01-21,1.0
2009-01-22,1.0
2009-01-23,1.0
2009-01-24,1.0
2009-01-27,1.0
2009-01-28,1.0
2009-01-29,1.0
2009-01-30,1.0
2009-01-31,1.0
2009-02-03,1.0
2009-02-04,1.0
2009-02-05,1.0
2009-02-06,1.0
2009-02-07,1.0
2009-02-10,1.0
2009-02-11,1.0
2009-02-12,1.0
2009-02-13,1.0
2009-02-14,1.0
2009-02-18,1.0
2009-02-19,0.9889705882352942
2009-02-20,1.0074349442379182
2009-02-21,1.0
2009-02-24,1.0
2009-02-25,1.0
2009-02-26,1.0
2009-02-27,1.0
2009-02-28,1.0
2009-03-03,1.0
2009-03-04,1.0
2009-03-05,1.0
2009-03-06,1.0
2009-03-07,1.0
2009-03-10,1.0
2009-03-11,1.0
2009-03-12,1.0
2009-03-13,1.0
2009-03-14,1.0
2009-03-17,1.0
2009-03-18,1.0
2009-03-19,1.0
2009-03-20,1.0
2009-03-21,1.0
2009-03-24,1.0
2009-03-25,1.0
2009-03-26,1.0073529411764706
2009-03-27,1.032846715328467
2009-03-28,1.0
2009-03-31,1.0
2009-04-01,0.9702127659574468
2009-04-02,1.0614035087719298
2009-04-03,1.0
2009-04-04,1.0
2009-04-07,1.0
2009-04-08,1.0
2009-04-09,1.0
2009-04-10,1.0
2009-04-14,1.0
2009-04-15,1.0
2009-04-16,1.0
2009-04-17,1.0
2009-04-18,1.0
2009-04-21,1.0
2009-04-22,1.0
2009-04-23,1.0
2009-04-24,1.0
2009-04-25,1.0
2009-04-28,1.0
2009-04-29,1.0
2009-04-30,1.0
2009-05-01,1.0
2009-05-02,1.0
2009-05-05,1.0
2009-05-06,1.0
2009-05-07,1.0
2009-05-08,1.0
2009-05-09,1.0
2009-05-12,1.0
2009-05-13,1.0
2009-05-14,1.0
2009-05-15,1.0
2009-05-16,1.0
2009-05-19,1.0
2009-05-20,1.0
2009-05-21,1.0
2009-05-22,1.0
2009-05-23,1.0
2009-05-27,1.0
2009-05-28,1.0
2009-05-29,1.0
2009-05-30,1.0
2009-06-02,1.0
2009-06-03,1.0
2009-06-04,1.0
2009-06-05,1.0653409090909092
2009-06-06,0.9813333333333333
2009-06-09,1.0
2009-06-10,1.0
2009-06-11,1.0
2009-06-12,1.0
2009-06-13,1.0
2009-06-16,1.0
2009-06-17,0.9398907103825137
2009-06-18,0.9534883720930233
2009-06-19,1.0
2009-06-20,1.0
2009-06-23,1.0
2009-06-24,1.0
2009-06-25,1.0
2009-06-26,1.0
2009-06-27,1.0
2009-06-30,1.0
2009-07-01,1.0
2009-07-02,1.0
2009-07-03,1.0
2009-07-07,1.0
2009-07-08,1.0
2009-07-09,1.0
2009-07-10,1.0
2009-07-11,1.0
2009-07-14,1.0
2009-07-15,1.0
2009-07-16,1.0
2009-07-17,1.0
2009-07-18,1.0
2009-07-21,1.0477815699658704
2009-07-22,1.0325732899022801
2009-07-23,1.0
2009-07-24,1.0
2009-07-25,1.0
2009-07-28,1.0
2009-07-29,1.0
2009-07-30,1.0
2009-07-31,1.0
2009-08-01,1.0
2009-08-04,1.0
2009-08-05,1.0
2009-08-06,1.0
2009-08-07,1.0
2009-08-08,1.0
2009-08-11,1.0
2009-08-12,1.0
2009-08-13,1.0
2009-08-14,1.0
2009-08-15,1.0
2009-08-18,1.0
2009-08-19,1.0
2009-08-20,1.0
2009-08-21,1.0
2009-08-22,1.0
2009-08-25,1.0
2009-08-26,1.0
2009-08-27,1.0
2009-08-28,1.0
2009-08-29,1.0
2009-09-01,1.0
2009-09-02,1.0
2009-09-03,1.0
2009-09-04,1.0
2009-09-05,1.0
2009-09-09,1.0
2009-09-10,1.0
2009-09-11,1.0
2009-09-12,1.0
2009-09-15,1.0
2009-09-16,1.0
2009-09-17,1.0
2009-09-18,1.0
2009-09-19,1.0
2009-09-22,1.0
2009-09-23,1.0
2009-09-24,1.0
2009-09-25,1.0
2009-09-26,1.0
2009-09-29,1.0
2009-09-30,1.0
2009-10-01,1.0
2009-10-02,1.0
2009-10-03,0.9861495844875346
2009-10-06,1.0702247191011236
2009-10-07,1.0
2009-10-08,1.0
2009-10-09,1.0
2009-10-10,1.0
2009-10-13,1.0
2009-10-14,1.0
2009-10-15,1.0
2009-10-16,1.0
2009-10-17,1.0
2009-10-20,1.0
2009-10-21,1.0
2009-10-22,1.0
2009-10-23,1.0
2009-10-24,1.0
2009-10-27,1.0
2009-10-28,1.0
2009-10-29,1.0
2009-10-30,1.0
2009-10-31,1.0
2009-11-03,1.007177033492823
2009-11-04,1.0332541567695963
2009-11-05,1.0
2009-11-06,1.0
2009-11-07,1.0
2009-11-10,1.0
2009-11-11,1.0
2009-11-12,1.0
2009-11-13,1.0
2009-11-14,1.0
2009-11-17,1.0
2009-11-18,1.0
2009-11-19,1.0
2009-11-20,1.0
2009-11-21,1.0
2009-11-24,1.0
2009-11-25,1.0
2009-11-26,1.0
2009-11-28,1.0
2009-12-01,1.0
2009-12-02,1.0
2009-12-03,1.0
2009-12-04,1.0
2009-12-05,1.0
2009-12-08,1.0
2009-12-09,1.0
2009-12-10,1.0
2009-12-11,1.0
2009-12-12,1.0
2009-12-15,1.0
2009-12-16,1.0
2009-12-17,1.0
2009-12-18,1.0
2009-12-19,1.0
2009-12-22,1.0
2009-12-23,1.0
2009-12-24,1.0
2009-12-25,1.0
2009-12-29,1.0
2009-12-30,1.0
2009-12-31,1.0
2010-01-01,1.0
2010-01-05,1.0
2010-01-06,1.0
2010-01-07,1.0
2010-01-08,1.0
2010-01-09,1.0
2010-01-12,1.0
2010-01-13,1.0
2010-01-14,1.0
2010-01-15,1.0
2010-01-16,1.0
2010-01-20,1.0
2010-01-21,1.0
2010-01-22,1.0
2010-01-23,1.0
2010-01-26,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-01-30,1.0
2010-02-02,1.093841642228739
2010-02-03,1.0428954423592494
2010-02-04,1.0
2010-02-05,1.0
2010-02-06,0.9940298507462687
2010-02-09,0.978978978978979
2010-02-10,1.0
2010-02-11,1.0
2010-02-12,1.0
2010-02-13,1.0
2010-02-17,1.0
2010-02-18,1.0
2010-02-19,1.0
2010-02-20,1.0
2010-02-23,1.0
2010-02-24,1.0
2010-02-25,1.0
2010-02-26,1.0
2010-02-27,1.0
2010-03-02,1.0
2010-03-03,1.0
2010-03-04,1.0
2010-03-05,1.0
2010-03-06,1.0
2010-03-09,1.0
2010-03-10,1.0
2010-03-11,1.0
2010-03-12,1.0
2010-03-13,1.0
2010-03-16,1.0
2010-03-17,1.0
2010-03-18,1.0
2010-03-19,1.0
2010-03-20,1.0
2010-03-23,0.9948453608247423
2010-03-24,1.0
2010-03-25,1.0
2010-03-26,0.952755905511811
2010-03-27,1.0
2010-03-30,1.0
2010-03-31,1.0
2010-04-01,1.0
2010-04-02,1.0515463917525774
2010-04-06,1.0490196078431373
2010-04-07,1.0
2010-04-08,1.0
2010-04-09,1.0
2010-04-10,1.0
2010-04-13,1.0
2010-04-14,1.0
2010-04-15,1.0
2010-04-16,1.0
2010-04-17,1.0
2010-04-20,1.0
2010-04-21,1.0
2010-04-22,1.0
2010-04-23,1.0
2010-04-24,1.0
2010-04-27,1.0
2010-04-28,1.0
2010-04-29,1.0
2010-04-30,1.0
2010-05-01,1.0
2010-05-04,1.0
2010-05-05,1.0
2010-05-06,1.0
2010-05-07,0.8942065491183879
2010-05-08,0.952112676056338
2010-05-11,1.0
2010-05-12,1.0
2010-05-13,1.0
2010-05-14,1.0
2010-05-15,1.0
2010-05-18,1.0
2010-05-19,1.0
2010-05-20,1.0
2010-05-21,1.0
2010-05-22,1.045774647887324
2010-05-25,0.936026936026936
2010-05-26,1.0
2010-05-27,1.0
2010-05-28,1.0
2010-05-29,1.0
2010-06-02,0.8711864406779661
2010-06-03,1.1284046692607004
2010-06-04,1.0
2010-06-05,1.0
2010-06-08,0.9666666666666667
2010-06-09,1.0574712643678161
2010-06-10,1.0
2010-06-11,1.0
2010-06-12,1.0
2010-06-15,1.0
2010-06-16,1.0
2010-06-17,1.0
2010-06-18,1.0
2010-06-19,1.0
2010-06-22,1.0
2010-06-23,1.0
2010-06-24,0.9705882352941176
2010-06-25,0.936026936026936
2010-06-26,1.0
2010-06-29,1.0
2010-06-30,1.0
2010-07-01,1.0
2010-07-02,1.0
2010-07-03,1.0
2010-07-07,1.0
2010-07-08,1.0
2010-07-09,1.0
2010-07-10,1.0
2010-07-13,1.0
2010-07-14,1.0
2010-07-15,1.0
2010-07-16,1.0
2010-07-17,1.0
2010-07-20,1.0
2010-07-21,1.0
2010-07-22,1.0
2010-07-23,1.0
2010-07-24,1.0
2010-07-27,1.0
2010-07-28,1.0
2010-07-29,1.0
2010-07-30,1.0
2010-07-31,0.9966329966329966
2010-08-03,1.1013513513513513
2010-08-04,1.0
2010-08-05,1.0
2010-08-06,1.0
2010-08-07,1.0
2010-08-10,1.0
2010-08-11,1.0
2010-08-12,1.0
2010-08-13,0.9829351535836177
2010-08-14,0.9930555555555556
2010-08-17,1.0
2010-08-18,1.0
2010-08-19,1.0
2010-08-20,1.0
2010-08-21,1.0
2010-08-24,1.0
2010-08-25,1.0
2010-08-26,1.0
2010-08-27,1.0
2010-08-28,1.0
2010-08-31,1.0
2010-09-01,1.0
2010-09-02,1.0
2010-09-03,1.0
2010-09-04,1.0
2010-09-08,1.0
2010-09-09,1.0
2010-09-10,1.0
2010-09-11,1.0
2010-09-14,1.0
2010-09-15,1.0
2010-09-16,1.0
2010-09-17,1.0
2010-09-18,1.0
2010-09-21,1.0
2010-09-22,1.0
2010-09-23,1.0
2010-09-24,1.0
2010-09-25,1.0
2010-09-28,1.0
2010-09-29,1.0
2010-09-30,1.0
2010-10-01,1.0
2010-10-02,1.0
2010-10-05,1.0
2010-10-06,1.0
2010-10-07,1.0
2010-10-08,1.0
2010-10-09,1.0
2010-10-12,1.0
2010-10-13,1.0
2010-10-14,1.0
2010-10-15,1.0
