date,trade_returns_day
2008-11-06,
2008-11-07,1.0
2008-11-08,1.0
2008-11-11,1.0
2008-11-12,1.0
2008-11-13,1.0
2008-11-14,1.0
2008-11-15,1.0
2008-11-18,1.0
2008-11-19,1.0
2008-11-20,1.0
2008-11-21,1.0
2008-11-22,1.0
2008-11-25,1.0
2008-11-26,1.0
2008-11-27,1.0
2008-11-29,0.974826134905809
2008-12-02,1.2516594516594517
2008-12-03,1.0
2008-12-04,1.0
2008-12-05,1.0
2008-12-06,1.0
2008-12-09,1.0
2008-12-10,1.0455128454273388
2008-12-11,0.9656133828996283
2008-12-12,1.0818094321462945
2008-12-13,0.9727164887307236
2008-12-16,1.0
2008-12-17,1.0
2008-12-18,1.0244702703447897
2008-12-19,1.0541635267520724
2008-12-20,1.0
2008-12-23,1.0
2008-12-24,1.0
2008-12-25,1.0
2008-12-27,1.0
2008-12-30,1.0
2008-12-31,1.0
2009-01-01,1.0
2009-01-03,0.9123412649488349
2009-01-06,1.001141141141141
2009-01-07,1.0
2009-01-08,1.0
2009-01-09,1.0
2009-01-10,1.0
2009-01-13,1.0
2009-01-14,1.0
2009-01-15,1.0
2009-01-16,1.0
2009-01-17,1.0
2009-01-21,1.0
2009-01-22,1.0
2009-01-23,1.0
2009-01-24,1.0
2009-01-27,1.0
2009-01-28,1.0
2009-01-29,1.0
2009-01-30,1.0
2009-01-31,1.0
2009-02-03,1.0
2009-02-04,1.0
2009-02-05,1.0
2009-02-06,1.0
2009-02-07,1.0
2009-02-10,1.0
2009-02-11,1.0
2009-02-12,1.0
2009-02-13,1.0
2009-02-14,1.0
2009-02-18,1.0
2009-02-19,1.0
2009-02-20,1.0
2009-02-21,1.0
2009-02-24,1.0
2009-02-25,1.0
2009-02-26,1.0
2009-02-27,1.0
2009-02-28,1.0
2009-03-03,1.0
2009-03-04,1.0
2009-03-05,1.0
2009-03-06,1.0
2009-03-07,1.0
2009-03-10,1.0
2009-03-11,1.0
2009-03-12,1.0
2009-03-13,1.0
2009-03-14,1.0
2009-03-17,1.0
2009-03-18,1.0
2009-03-19,1.0
2009-03-20,1.0
2009-03-21,1.0
2009-03-24,1.0
2009-03-25,1.0445348566418717
2009-03-26,0.9852459016393442
2009-03-27,0.9292778702163061
2009-03-28,1.0526413797054948
2009-03-31,1.0
2009-04-01,1.0
2009-04-02,1.0
2009-04-03,0.9145822102425876
2009-04-04,0.9635289263505349
2009-04-07,1.0
2009-04-08,1.0
2009-04-09,1.0
2009-04-10,1.0
2009-04-14,1.0
2009-04-15,1.0
2009-04-16,1.0
2009-04-17,1.0
2009-04-18,1.0
2009-04-21,1.0
2009-04-22,1.0
2009-04-23,1.0
2009-04-24,1.0
2009-04-25,1.0
2009-04-28,1.0
2009-04-29,1.0
2009-04-30,1.0
2009-05-01,1.0
2009-05-02,1.0
2009-05-05,1.0
2009-05-06,1.0
2009-05-07,1.0
2009-05-08,1.0
2009-05-09,1.0
2009-05-12,1.0
2009-05-13,1.0
2009-05-14,1.0
2009-05-15,1.0
2009-05-16,1.0
2009-05-19,1.0
2009-05-20,1.0
2009-05-21,1.0
2009-05-22,1.0
2009-05-23,1.0
2009-05-27,1.0
2009-05-28,1.0
2009-05-29,1.0
2009-05-30,1.0
2009-06-02,1.0
2009-06-03,0.9963985594237695
2009-06-04,1.03944578313253
2009-06-05,1.0
2009-06-06,1.0005973715651135
2009-06-09,1.008955223880597
2009-06-10,1.0
2009-06-11,1.0
2009-06-12,1.0
2009-06-13,1.0
2009-06-16,1.0
2009-06-17,1.0
2009-06-18,1.0
2009-06-19,1.0
2009-06-20,1.0
2009-06-23,1.0
2009-06-24,1.0
2009-06-25,1.0
2009-06-26,1.0
2009-06-27,1.0
2009-06-30,1.0
2009-07-01,1.0
2009-07-02,1.0
2009-07-03,1.0
2009-07-07,1.0
2009-07-08,1.0
2009-07-09,1.0
2009-07-10,1.0
2009-07-11,1.0
2009-07-14,1.0
2009-07-15,1.0
2009-07-16,1.0
2009-07-17,1.0
2009-07-18,1.0018894192521877
2009-07-21,0.9689826302729528
2009-07-22,0.9859154929577465
2009-07-23,0.9974025974025974
2009-07-24,1.0
2009-07-25,1.0
2009-07-28,1.0
2009-07-29,1.0
2009-07-30,1.0
2009-07-31,1.0
2009-08-01,1.0
2009-08-04,1.0
2009-08-05,1.0
2009-08-06,1.0
2009-08-07,1.0
2009-08-08,1.0
2009-08-11,1.0
2009-08-12,1.0
2009-08-13,1.0
2009-08-14,1.0
2009-08-15,1.0
2009-08-18,1.0
2009-08-19,1.0
2009-08-20,1.0
2009-08-21,1.0
2009-08-22,1.0
2009-08-25,1.0
2009-08-26,1.0
2009-08-27,1.0
2009-08-28,1.0
2009-08-29,1.0
2009-09-01,1.0
2009-09-02,1.0
2009-09-03,1.0
2009-09-04,1.0
2009-09-05,1.0
2009-09-09,1.0
2009-09-10,1.0
2009-09-11,1.0
2009-09-12,0.9986861728570414
2009-09-15,0.9822222222222222
2009-09-16,1.0
2009-09-17,1.0
2009-09-18,1.0
2009-09-19,1.0
2009-09-22,1.0
2009-09-23,1.0
2009-09-24,1.0
2009-09-25,1.0
2009-09-26,1.0
2009-09-29,1.0
2009-09-30,1.0
2009-10-01,1.0
2009-10-02,1.0
2009-10-03,1.0
2009-10-06,1.0
2009-10-07,0.9605381165919282
2009-10-08,0.9897292250233427
2009-10-09,1.0
2009-10-10,1.0
2009-10-13,1.0
2009-10-14,1.0
2009-10-15,1.0
2009-10-16,1.0
2009-10-17,1.0
2009-10-20,1.0
2009-10-21,1.0
2009-10-22,1.0
2009-10-23,1.0
2009-10-24,1.0
2009-10-27,1.0
2009-10-28,1.0
2009-10-29,1.0
2009-10-30,1.0
2009-10-31,1.0
2009-11-03,1.0
2009-11-04,0.9858820954326573
2009-11-05,0.9967437557816836
2009-11-06,1.0
2009-11-07,1.0
2009-11-10,1.0
2009-11-11,1.0
2009-11-12,1.0
2009-11-13,1.0
2009-11-14,1.0
